,AgeCategory,WeeklyWorkingHours,WorkClass,Education,MaritalStatus,Occupation,Relationship,Race,Sex,NativeCountry
random3832,AgeCat-30-40,HoursCat-40-50,Private,HS-grad,Never-married,Machine-op-inspct,Husband,White,Male,United-States
random3833,AgeCat-20-30,HoursCat-40-50,Private,Grade-11th,Never-married,Transport-moving,Husband,White,Female,United-States
random3834,AgeCat-30-40,HoursCat-30-40,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,White,Female,United-States
random3835,AgeCat-20-30,HoursCat-20-30,Self-emp-not-inc,Some-college,Married-civ-spouse,Other-service,Not-in-family,White,Male,United-States
random3836,AgeCat-30-40,HoursCat-30-40,Private,HS-grad,Never-married,Farming-fishing,Husband,White,Female,United-States
random3837,AgeCat-40-50,HoursCat-30-40,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
random3838,AgeCat-60-70,HoursCat-30-40,Private,Some-college,Married-civ-spouse,Tech-support,Other-relative,White,Male,United-States
random3839,AgeCat-20-30,HoursCat-30-40,Self-emp-not-inc,HS-grad,Divorced,Prof-specialty,Husband,White,Male,Taiwan
random3840,AgeCat-30-40,HoursCat-40-50,Private,Grade-11th,Married-civ-spouse,Other-service,Not-in-family,Black,Male,United-States
random3841,AgeCat-20-30,HoursCat-10-20,Private,Bachelors,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,United-States
random3842,AgeCat-50-60,HoursCat-30-40,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
random3843,AgeCat-50-60,HoursCat-30-40,Federal-gov,Some-college,Never-married,Craft-repair,Not-in-family,White,Female,United-States
random3844,AgeCat-40-50,HoursCat-30-40,Federal-gov,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,United-States
random3845,AgeCat-10-20,HoursCat-10-20,Self-emp-inc,Bachelors,Married-civ-spouse,Prof-specialty,Not-in-family,White,Female,United-States
random3846,AgeCat-30-40,HoursCat-40-50,Private,Grade-11th,Never-married,Machine-op-inspct,Own-child,White,Male,United-States
random3847,AgeCat-20-30,HoursCat-30-40,Private,Some-college,Never-married,Other-service,Wife,White,Male,United-States
random3848,AgeCat-20-30,HoursCat-10-20,Private,Grade-11th,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States
random3849,AgeCat-40-50,HoursCat-40-50,Private,HS-grad,Divorced,Farming-fishing,Husband,White,Male,United-States
random3850,AgeCat-20-30,HoursCat-30-40,Self-emp-inc,Some-college,Never-married,Machine-op-inspct,Other-relative,White,Male,United-States
random3851,AgeCat-30-40,HoursCat-10-20,Private,Some-college,Divorced,Exec-managerial,Husband,White,Female,United-States
random3852,AgeCat-30-40,HoursCat-10-20,Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,United-States
random3853,AgeCat-20-30,HoursCat-30-40,Private,Grade-7th-8th,Never-married,Transport-moving,Wife,White,Female,United-States
random3854,AgeCat-30-40,HoursCat-30-40,Private,HS-grad,Married-civ-spouse,Other-service,Not-in-family,White,Male,United-States
random3855,AgeCat-10-20,HoursCat-30-40,Private,Assoc-voc,Never-married,Adm-clerical,Not-in-family,White,Male,United-States
random3856,AgeCat-10-20,HoursCat-30-40,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,United-States
random3857,AgeCat-50-60,HoursCat-40-50,Local-gov,HS-grad,Married-civ-spouse,Farming-fishing,Not-in-family,White,Male,United-States
random3858,AgeCat-30-40,HoursCat-30-40,Self-emp-not-inc,Grade-9th,Married-civ-spouse,Farming-fishing,Not-in-family,White,Male,Philippines
random3859,AgeCat-50-60,HoursCat-30-40,State-gov,Some-college,Never-married,Adm-clerical,Not-in-family,White,Male,United-States
random3860,AgeCat-30-40,HoursCat-30-40,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Own-child,White,Female,United-States
random3861,AgeCat-30-40,HoursCat-40-50,Local-gov,HS-grad,Never-married,Prof-specialty,Own-child,White,Male,United-States
random3862,AgeCat-20-30,HoursCat-40-50,Self-emp-not-inc,Grade-9th,Married-civ-spouse,Craft-repair,Not-in-family,White,Female,United-States
random3863,AgeCat-20-30,HoursCat-40-50,Federal-gov,Some-college,Married-civ-spouse,Exec-managerial,Own-child,White,Male,United-States
random3864,AgeCat-20-30,HoursCat-30-40,Private,Bachelors,Never-married,Other-service,Unmarried,White,Male,United-States
random3865,AgeCat-40-50,HoursCat-10-20,Private,Bachelors,Married-civ-spouse,Adm-clerical,Own-child,White,Male,United-States
random3866,AgeCat-40-50,HoursCat-10-20,Federal-gov,Some-college,Married-civ-spouse,Prof-specialty,Not-in-family,Black,Female,United-States
random3867,AgeCat-30-40,HoursCat-30-40,Private,Grade-10th,Never-married,Other-service,Not-in-family,White,Male,Mexico
random3868,AgeCat-40-50,HoursCat-70-80,Private,Grade-12th,Never-married,Other-service,Husband,White,Male,United-States
random3869,AgeCat-20-30,HoursCat-40-50,Private,Some-college,Married-spouse-absent,Exec-managerial,Own-child,White,Male,United-States
random3870,AgeCat-30-40,HoursCat-30-40,State-gov,Some-college,Married-civ-spouse,Exec-managerial,Not-in-family,White,Female,United-States
random3871,AgeCat-50-60,HoursCat-10-20,Private,Grade-10th,Never-married,Sales,Husband,White,Female,United-States
random3872,AgeCat-20-30,HoursCat-30-40,Private,Grade-1st-4th,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States
random3873,AgeCat-20-30,HoursCat-30-40,Private,Assoc-voc,Divorced,Adm-clerical,Own-child,White,Male,United-States
random3874,AgeCat-40-50,HoursCat-30-40,Private,Grade-11th,Never-married,Protective-serv,Unmarried,Asian-Pac-Islander,Male,Philippines
random3875,AgeCat-50-60,HoursCat-40-50,Self-emp-not-inc,Grade-10th,Divorced,Craft-repair,Not-in-family,Black,Male,United-States
random3876,AgeCat-20-30,HoursCat-30-40,Private,Bachelors,Never-married,Other-service,Husband,White,Male,United-States
random3877,AgeCat-30-40,HoursCat-50-60,Without-pay,HS-grad,Never-married,Craft-repair,Other-relative,White,Female,United-States
random3878,AgeCat-40-50,HoursCat-30-40,Private,Doctorate,Divorced,Other-service,Husband,White,Male,United-States
random3879,AgeCat-30-40,HoursCat-60-70,Private,HS-grad,Married-spouse-absent,Prof-specialty,Husband,Asian-Pac-Islander,Female,United-States
random3880,AgeCat-40-50,HoursCat-30-40,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Own-child,Black,Male,United-States
random3881,AgeCat-30-40,HoursCat-40-50,Private,HS-grad,Never-married,Exec-managerial,Not-in-family,White,Female,United-States
random3882,AgeCat-40-50,HoursCat-30-40,Private,Grade-12th,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
random3883,AgeCat-50-60,HoursCat-30-40,Private,HS-grad,Never-married,Sales,Not-in-family,White,Male,United-States
random3884,AgeCat-50-60,HoursCat-30-40,Private,Assoc-voc,Never-married,Machine-op-inspct,Unmarried,White,Male,United-States
random3885,AgeCat-40-50,HoursCat-20-30,Self-emp-not-inc,Masters,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States
random3886,AgeCat-40-50,HoursCat-20-30,Self-emp-not-inc,Bachelors,Never-married,Exec-managerial,Unmarried,White,Male,United-States
random3887,AgeCat-30-40,HoursCat-30-40,Local-gov,Grade-11th,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States
random3888,AgeCat-10-20,HoursCat-0-10,State-gov,Grade-9th,Never-married,Exec-managerial,Husband,White,Female,United-States
random3889,AgeCat-20-30,HoursCat-50-60,Private,Some-college,Divorced,Exec-managerial,Husband,White,Male,United-States
random3890,AgeCat-10-20,HoursCat-30-40,Private,Some-college,Married-civ-spouse,Other-service,Husband,White,Male,United-States
random3891,AgeCat-30-40,HoursCat-30-40,Private,Bachelors,Separated,Sales,Not-in-family,Black,Female,United-States
random3892,AgeCat-50-60,HoursCat-50-60,Private,Some-college,Never-married,Other-service,Other-relative,White,Male,United-States
random3893,AgeCat-40-50,HoursCat-40-50,Private,Masters,Divorced,Craft-repair,Unmarried,White,Male,United-States
random3894,AgeCat-40-50,HoursCat-30-40,Self-emp-not-inc,Grade-10th,Divorced,Craft-repair,Husband,White,Male,United-States
random3895,AgeCat-20-30,HoursCat-30-40,Private,HS-grad,Married-civ-spouse,Other-service,Own-child,White,Female,Italy
random3896,AgeCat-20-30,HoursCat-30-40,Private,Some-college,Never-married,Machine-op-inspct,Own-child,White,Male,United-States
random3897,AgeCat-20-30,HoursCat-30-40,Private,Some-college,Married-civ-spouse,Prof-specialty,Own-child,White,Male,United-States
random3898,AgeCat-50-60,HoursCat-0-10,Local-gov,Masters,Never-married,Farming-fishing,Unmarried,Black,Female,United-States
random3899,AgeCat-20-30,HoursCat-40-50,Private,HS-grad,Married-civ-spouse,Sales,Other-relative,Black,Male,United-States
random3900,AgeCat-30-40,HoursCat-30-40,Private,Some-college,Never-married,Craft-repair,Unmarried,White,Female,United-States
random3901,AgeCat-20-30,HoursCat-20-30,Self-emp-inc,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States
random3902,AgeCat-20-30,HoursCat-30-40,Private,HS-grad,Divorced,Transport-moving,Own-child,White,Male,United-States
random3903,AgeCat-30-40,HoursCat-30-40,Self-emp-not-inc,Some-college,Never-married,Craft-repair,Husband,White,Male,United-States
random3904,AgeCat-30-40,HoursCat-30-40,Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,Male,Puerto-Rico
random3905,AgeCat-30-40,HoursCat-30-40,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Female,United-States
random3906,AgeCat-40-50,HoursCat-0-10,Private,Grade-11th,Married-civ-spouse,Sales,Other-relative,White,Male,United-States
random3907,AgeCat-20-30,HoursCat-10-20,Self-emp-inc,Grade-7th-8th,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States
random3908,AgeCat-40-50,HoursCat-30-40,Private,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Female,United-States
random3909,AgeCat-20-30,HoursCat-30-40,Private,Assoc-voc,Widowed,Prof-specialty,Husband,White,Male,United-States
random3910,AgeCat-30-40,HoursCat-40-50,Private,Some-college,Never-married,Craft-repair,Not-in-family,Black,Male,United-States
random3911,AgeCat-40-50,HoursCat-30-40,Private,Some-college,Divorced,Prof-specialty,Not-in-family,White,Female,United-States
random3912,AgeCat-40-50,HoursCat-30-40,Private,Bachelors,Never-married,Other-service,Unmarried,White,Female,United-States
random3913,AgeCat-20-30,HoursCat-30-40,Federal-gov,HS-grad,Separated,Exec-managerial,Not-in-family,White,Male,United-States
random3914,AgeCat-30-40,HoursCat-40-50,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
random3915,AgeCat-20-30,HoursCat-10-20,Self-emp-inc,Grade-9th,Never-married,Prof-specialty,Unmarried,White,Male,United-States
random3916,AgeCat-40-50,HoursCat-30-40,Private,Assoc-acdm,Never-married,Sales,Husband,White,Female,United-States
random3917,AgeCat-20-30,HoursCat-30-40,Private,Masters,Divorced,Other-service,Unmarried,White,Male,Philippines
random3918,AgeCat-40-50,HoursCat-10-20,Private,HS-grad,Married-civ-spouse,Other-service,Unmarried,White,Male,United-States
random3919,AgeCat-30-40,HoursCat-30-40,Private,Grade-7th-8th,Married-civ-spouse,Craft-repair,Own-child,Black,Female,United-States
random3920,AgeCat-20-30,HoursCat-30-40,State-gov,Some-college,Married-civ-spouse,Sales,Not-in-family,White,Male,United-States
random3921,AgeCat-40-50,HoursCat-30-40,Private,Grade-11th,Married-civ-spouse,Exec-managerial,Husband,White,Male,South
random3922,AgeCat-20-30,HoursCat-40-50,Private,HS-grad,Married-civ-spouse,Exec-managerial,Not-in-family,White,Female,United-States
random3923,AgeCat-20-30,HoursCat-40-50,Private,Assoc-voc,Never-married,Sales,Husband,White,Male,United-States
random3924,AgeCat-10-20,HoursCat-30-40,Private,Bachelors,Never-married,Machine-op-inspct,Husband,White,Female,United-States
random3925,AgeCat-50-60,HoursCat-30-40,Private,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Female,United-States
random3926,AgeCat-30-40,HoursCat-30-40,Private,Grade-7th-8th,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
random3927,AgeCat-30-40,HoursCat-30-40,Private,Doctorate,Married-civ-spouse,Other-service,Not-in-family,White,Female,United-States
random3928,AgeCat-20-30,HoursCat-30-40,Private,HS-grad,Divorced,Prof-specialty,Own-child,White,Male,United-States
random3929,AgeCat-20-30,HoursCat-30-40,State-gov,HS-grad,Never-married,Prof-specialty,Not-in-family,White,Female,United-States
random3930,AgeCat-30-40,HoursCat-20-30,Local-gov,Masters,Married-civ-spouse,Other-service,Husband,White,Male,United-States
random3931,AgeCat-30-40,HoursCat-30-40,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Own-child,White,Female,United-States
random3932,AgeCat-40-50,HoursCat-30-40,Self-emp-inc,Some-college,Never-married,Exec-managerial,Not-in-family,White,Male,United-States
random3933,AgeCat-30-40,HoursCat-10-20,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Black,Female,United-States
random3934,AgeCat-50-60,HoursCat-60-70,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
random3935,AgeCat-30-40,HoursCat-40-50,Private,Grade-11th,Married-civ-spouse,Protective-serv,Own-child,White,Female,United-States
random3936,AgeCat-10-20,HoursCat-30-40,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,United-States
random3937,AgeCat-30-40,HoursCat-30-40,Private,Grade-11th,Married-civ-spouse,Other-service,Husband,White,Male,United-States
random3938,AgeCat-20-30,HoursCat-30-40,Local-gov,Some-college,Never-married,Prof-specialty,Own-child,Black,Male,United-States
random3939,AgeCat-30-40,HoursCat-40-50,Private,Some-college,Married-civ-spouse,Prof-specialty,Own-child,White,Female,Mexico
random3940,AgeCat-60-70,HoursCat-20-30,Private,Grade-11th,Never-married,Sales,Husband,White,Male,United-States
random3941,AgeCat-50-60,HoursCat-30-40,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States
random3942,AgeCat-20-30,HoursCat-10-20,Private,Grade-12th,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,United-States
random3943,AgeCat-30-40,HoursCat-40-50,Private,Prof-school,Married-civ-spouse,Sales,Husband,Black,Female,United-States
random3944,AgeCat-30-40,HoursCat-30-40,Private,Bachelors,Married-civ-spouse,Prof-specialty,Unmarried,White,Female,United-States
random3945,AgeCat-40-50,HoursCat-30-40,Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,United-States
random3946,AgeCat-10-20,HoursCat-50-60,Private,Grade-1st-4th,Married-civ-spouse,Craft-repair,Unmarried,White,Male,United-States
random3947,AgeCat-10-20,HoursCat-30-40,Private,HS-grad,Never-married,Exec-managerial,Husband,White,Male,United-States
random3948,AgeCat-20-30,HoursCat-30-40,Private,HS-grad,Separated,Farming-fishing,Husband,White,Male,United-States
random3949,AgeCat-40-50,HoursCat-30-40,Private,Assoc-voc,Never-married,Sales,Not-in-family,White,Female,United-States
random3950,AgeCat-30-40,HoursCat-50-60,Private,Some-college,Divorced,Prof-specialty,Unmarried,White,Male,United-States
random3951,AgeCat-50-60,HoursCat-30-40,Private,HS-grad,Divorced,Prof-specialty,Own-child,Black,Male,United-States
random3952,AgeCat-20-30,HoursCat-60-70,Local-gov,Bachelors,Divorced,Other-service,Unmarried,White,Female,United-States
random3953,AgeCat-30-40,HoursCat-50-60,Private,Assoc-acdm,Married-civ-spouse,Other-service,Wife,White,Female,United-States
random3954,AgeCat-40-50,HoursCat-30-40,Private,Some-college,Never-married,Sales,Husband,White,Female,Mexico
random3955,AgeCat-30-40,HoursCat-30-40,Private,HS-grad,Married-civ-spouse,Craft-repair,Unmarried,White,Male,United-States
random3956,AgeCat-20-30,HoursCat-50-60,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Own-child,White,Male,United-States
random3957,AgeCat-20-30,HoursCat-30-40,Local-gov,Bachelors,Divorced,Other-service,Husband,White,Male,United-States
random3958,AgeCat-30-40,HoursCat-40-50,Private,HS-grad,Married-civ-spouse,Prof-specialty,Unmarried,White,Female,United-States
random3959,AgeCat-20-30,HoursCat-30-40,Self-emp-not-inc,HS-grad,Never-married,Other-service,Not-in-family,White,Male,United-States
random3960,AgeCat-50-60,HoursCat-20-30,Private,Some-college,Married-civ-spouse,Adm-clerical,Other-relative,White,Female,United-States
random3961,AgeCat-30-40,HoursCat-50-60,Private,Some-college,Never-married,Craft-repair,Own-child,White,Male,United-States
random3962,AgeCat-20-30,HoursCat-10-20,Local-gov,Grade-11th,Widowed,Prof-specialty,Not-in-family,Black,Male,United-States
random3963,AgeCat-40-50,HoursCat-30-40,Private,Assoc-acdm,Married-civ-spouse,Craft-repair,Unmarried,White,Female,United-States
random3964,AgeCat-20-30,HoursCat-30-40,Private,HS-grad,Married-civ-spouse,Exec-managerial,Not-in-family,White,Female,United-States
random3965,AgeCat-40-50,HoursCat-50-60,Self-emp-not-inc,Assoc-voc,Divorced,Prof-specialty,Husband,White,Male,United-States
random3966,AgeCat-30-40,HoursCat-30-40,Private,Grade-10th,Married-civ-spouse,Other-service,Not-in-family,White,Female,United-States
random3967,AgeCat-20-30,HoursCat-30-40,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Male,United-States
random3968,AgeCat-10-20,HoursCat-30-40,State-gov,Masters,Married-civ-spouse,Prof-specialty,Other-relative,Asian-Pac-Islander,Male,United-States
random3969,AgeCat-70-80,HoursCat-40-50,Private,Masters,Married-civ-spouse,Craft-repair,Other-relative,White,Female,United-States
random3970,AgeCat-20-30,HoursCat-0-10,Private,Assoc-acdm,Separated,Handlers-cleaners,Unmarried,Black,Male,United-States
random3971,AgeCat-60-70,HoursCat-40-50,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Female,United-States
random3972,AgeCat-30-40,HoursCat-30-40,Private,Bachelors,Married-civ-spouse,Prof-specialty,Unmarried,White,Female,United-States
random3973,AgeCat-30-40,HoursCat-40-50,Private,Some-college,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,United-States
random3974,AgeCat-20-30,HoursCat-30-40,Private,Some-college,Never-married,Other-service,Not-in-family,White,Male,United-States
random3975,AgeCat-60-70,HoursCat-40-50,Local-gov,Bachelors,Never-married,Sales,Not-in-family,White,Female,United-States
random3976,AgeCat-40-50,HoursCat-40-50,Private,HS-grad,Never-married,Handlers-cleaners,Husband,White,Female,El-Salvador
random3977,AgeCat-30-40,HoursCat-40-50,Private,HS-grad,Married-civ-spouse,Prof-specialty,Unmarried,White,Male,United-States
random3978,AgeCat-20-30,HoursCat-50-60,Private,Grade-10th,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States
random3979,AgeCat-20-30,HoursCat-30-40,Private,Some-college,Widowed,Adm-clerical,Husband,White,Female,United-States
random3980,AgeCat-30-40,HoursCat-30-40,Self-emp-not-inc,Some-college,Never-married,Tech-support,Not-in-family,White,Male,United-States
random3981,AgeCat-30-40,HoursCat-30-40,Private,Assoc-voc,Married-civ-spouse,Sales,Not-in-family,White,Male,Iran
random3982,AgeCat-30-40,HoursCat-20-30,Private,HS-grad,Married-civ-spouse,Craft-repair,Not-in-family,Black,Female,United-States
random3983,AgeCat-20-30,HoursCat-30-40,Private,HS-grad,Married-civ-spouse,Craft-repair,Own-child,White,Female,United-States
random3984,AgeCat-10-20,HoursCat-30-40,Self-emp-not-inc,Some-college,Married-civ-spouse,Transport-moving,Own-child,White,Male,United-States
random3985,AgeCat-30-40,HoursCat-30-40,State-gov,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States
random3986,AgeCat-10-20,HoursCat-30-40,Private,HS-grad,Never-married,Other-service,Husband,White,Male,United-States
random3987,AgeCat-10-20,HoursCat-40-50,Self-emp-inc,Assoc-voc,Never-married,Adm-clerical,Husband,White,Female,United-States
random3988,AgeCat-30-40,HoursCat-20-30,Private,Grade-10th,Never-married,Tech-support,Not-in-family,White,Male,United-States
random3989,AgeCat-10-20,HoursCat-0-10,Private,Assoc-voc,Married-civ-spouse,Protective-serv,Not-in-family,White,Male,El-Salvador
random3990,AgeCat-30-40,HoursCat-60-70,Private,HS-grad,Married-civ-spouse,Craft-repair,Own-child,White,Female,United-States
random3991,AgeCat-20-30,HoursCat-30-40,Self-emp-not-inc,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States
random3992,AgeCat-20-30,HoursCat-30-40,Private,HS-grad,Never-married,Farming-fishing,Husband,White,Female,India
random3993,AgeCat-30-40,HoursCat-50-60,Private,Some-college,Separated,Sales,Husband,White,Female,United-States
random3994,AgeCat-20-30,HoursCat-30-40,State-gov,HS-grad,Never-married,Prof-specialty,Unmarried,White,Female,United-States
random3995,AgeCat-30-40,HoursCat-30-40,Private,HS-grad,Married-civ-spouse,Sales,Husband,Black,Female,United-States
random3996,AgeCat-30-40,HoursCat-40-50,Private,Grade-11th,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,United-States
random3997,AgeCat-50-60,HoursCat-50-60,Private,Grade-12th,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,United-States
random3998,AgeCat-50-60,HoursCat-40-50,Private,Bachelors,Never-married,Transport-moving,Husband,White,Male,United-States
random3999,AgeCat-20-30,HoursCat-20-30,Federal-gov,Prof-school,Divorced,Adm-clerical,Husband,White,Male,United-States
random4000,AgeCat-20-30,HoursCat-30-40,Private,Bachelors,Never-married,Sales,Husband,Black,Female,United-States
random4001,AgeCat-30-40,HoursCat-30-40,Local-gov,Bachelors,Never-married,Machine-op-inspct,Husband,White,Male,United-States
random4002,AgeCat-20-30,HoursCat-10-20,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,United-States
random4003,AgeCat-30-40,HoursCat-40-50,Private,Grade-11th,Married-civ-spouse,Exec-managerial,Own-child,White,Male,United-States
random4004,AgeCat-10-20,HoursCat-10-20,Private,Grade-7th-8th,Divorced,Adm-clerical,Own-child,White,Male,United-States
random4005,AgeCat-30-40,HoursCat-20-30,Private,HS-grad,Divorced,Adm-clerical,Own-child,White,Male,United-States
random4006,AgeCat-20-30,HoursCat-50-60,Self-emp-not-inc,Masters,Never-married,Craft-repair,Husband,White,Male,United-States
random4007,AgeCat-30-40,HoursCat-30-40,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States
random4008,AgeCat-40-50,HoursCat-40-50,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Not-in-family,White,Male,United-States
random4009,AgeCat-60-70,HoursCat-50-60,Private,Some-college,Never-married,Sales,Own-child,White,Male,United-States
random4010,AgeCat-20-30,HoursCat-20-30,Private,Grade-9th,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States
random4011,AgeCat-20-30,HoursCat-30-40,Private,Some-college,Divorced,Craft-repair,Other-relative,White,Male,United-States
random4012,AgeCat-60-70,HoursCat-40-50,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,United-States
random4013,AgeCat-50-60,HoursCat-30-40,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Adm-clerical,Own-child,White,Male,United-States
random4014,AgeCat-40-50,HoursCat-30-40,Private,HS-grad,Never-married,Prof-specialty,Husband,White,Male,United-States
random4015,AgeCat-50-60,HoursCat-70-80,Private,Bachelors,Never-married,Other-service,Own-child,White,Male,United-States
random4016,AgeCat-20-30,HoursCat-30-40,State-gov,HS-grad,Never-married,Sales,Husband,White,Male,United-States
random4017,AgeCat-50-60,HoursCat-30-40,Private,HS-grad,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,United-States
random4018,AgeCat-50-60,HoursCat-30-40,Self-emp-not-inc,Bachelors,Never-married,Sales,Not-in-family,White,Male,United-States
random4019,AgeCat-20-30,HoursCat-40-50,Self-emp-not-inc,HS-grad,Never-married,Prof-specialty,Other-relative,White,Male,United-States
random4020,AgeCat-30-40,HoursCat-30-40,Private,HS-grad,Never-married,Sales,Own-child,White,Male,United-States
random4021,AgeCat-50-60,HoursCat-40-50,Private,HS-grad,Divorced,Prof-specialty,Wife,White,Male,United-States
random4022,AgeCat-40-50,HoursCat-50-60,Private,Some-college,Married-civ-spouse,Adm-clerical,Own-child,White,Male,United-States
random4023,AgeCat-40-50,HoursCat-30-40,State-gov,Some-college,Never-married,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Female,United-States
random4024,AgeCat-30-40,HoursCat-30-40,Private,HS-grad,Never-married,Exec-managerial,Husband,Amer-Indian-Eskimo,Male,United-States
random4025,AgeCat-20-30,HoursCat-20-30,Private,Grade-10th,Never-married,Machine-op-inspct,Own-child,Other,Female,United-States
random4026,AgeCat-60-70,HoursCat-30-40,Private,Assoc-acdm,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States
random4027,AgeCat-30-40,HoursCat-60-70,Private,Some-college,Never-married,Protective-serv,Not-in-family,Black,Male,United-States
random4028,AgeCat-20-30,HoursCat-30-40,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Female,South
random4029,AgeCat-40-50,HoursCat-30-40,Private,Grade-12th,Married-civ-spouse,Adm-clerical,Unmarried,Black,Male,United-States
random4030,AgeCat-40-50,HoursCat-30-40,Self-emp-not-inc,Some-college,Married-civ-spouse,Other-service,Wife,White,Male,United-States
random4031,AgeCat-30-40,HoursCat-50-60,Private,HS-grad,Never-married,Prof-specialty,Husband,White,Male,United-States
random4032,AgeCat-20-30,HoursCat-30-40,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
random4033,AgeCat-20-30,HoursCat-30-40,Self-emp-not-inc,Some-college,Married-civ-spouse,Adm-clerical,Not-in-family,White,Female,United-States
random4034,AgeCat-20-30,HoursCat-10-20,Private,Grade-12th,Never-married,Exec-managerial,Not-in-family,White,Male,United-States
random4035,AgeCat-40-50,HoursCat-30-40,Private,Some-college,Married-civ-spouse,Craft-repair,Not-in-family,White,Female,United-States
random4036,AgeCat-30-40,HoursCat-30-40,Local-gov,Masters,Married-civ-spouse,Protective-serv,Wife,White,Female,United-States
random4037,AgeCat-20-30,HoursCat-30-40,Private,HS-grad,Never-married,Sales,Not-in-family,White,Male,United-States
random4038,AgeCat-10-20,HoursCat-10-20,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States
random4039,AgeCat-10-20,HoursCat-20-30,Self-emp-not-inc,Some-college,Married-civ-spouse,Handlers-cleaners,Own-child,White,Female,United-States
random4040,AgeCat-40-50,HoursCat-30-40,Private,Grade-11th,Divorced,Adm-clerical,Not-in-family,Black,Female,United-States
random4041,AgeCat-20-30,HoursCat-30-40,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Female,United-States
random4042,AgeCat-20-30,HoursCat-60-70,Private,HS-grad,Never-married,Tech-support,Not-in-family,White,Male,United-States
random4043,AgeCat-10-20,HoursCat-40-50,Private,Bachelors,Married-civ-spouse,Machine-op-inspct,Unmarried,White,Female,United-States
random4044,AgeCat-20-30,HoursCat-40-50,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Unmarried,Black,Male,United-States
random4045,AgeCat-50-60,HoursCat-10-20,Private,Assoc-acdm,Married-civ-spouse,Transport-moving,Not-in-family,White,Male,United-States
random4046,AgeCat-20-30,HoursCat-20-30,Self-emp-not-inc,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States
random4047,AgeCat-60-70,HoursCat-30-40,State-gov,Bachelors,Divorced,Machine-op-inspct,Husband,Other,Female,United-States
random4048,AgeCat-20-30,HoursCat-30-40,Local-gov,Assoc-acdm,Never-married,Transport-moving,Husband,White,Male,United-States
